School Name,State Name [Public School] Latest available year,State Name [Public School] 2023-24,State Abbr [Public School] Latest available year,School Name [Public School] 2023-24,School ID (7-digit) – NCES Assigned [Public School] 2023-24,School ID (12-digit) - NCES Assigned [Public School] Latest available year,ANSI/FIPS State Code [Public School] Latest available year,County Name [Public School] 2023-24,Black or African American Students [Public School] 2023-24,White Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Two or More Races Students [Public School] 2023-24,Total Race/Ethnicity [Public School] 2023-24,Hispanic Students [Public School] 2023-24,Asian or Asian/Pacific Islander Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2023-24,Free Lunch Eligible [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2023-24,Pupil/Teacher Ratio [Public School] 2023-24,Location ZIP [Public School] 2023-24,Location ZIP4 [Public School] 2023-24
EARLY CHILDHOOD ACADEMY PCS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Early Childhood Academy PCS,1100431,1.10006E+11,11,District of Columbia,229,0,0,10,247,8,0,0,–,–,–,14.54,20032,    
EASTERN HS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Eastern HS,1100078,1.10003E+11,11,District of Columbia,779,21,0,9,865,53,3,0,–,–,–,11.13,20003,    
EATON ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Eaton ES,1100096,1.10003E+11,11,District of Columbia,82,211,0,55,437,50,39,0,–,–,–,12.67,20008,    
ELIOT-HINE MS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Eliot-Hine MS,1100151,1.10003E+11,11,District of Columbia,295,57,0,10,374,11,1,0,–,–,–,13.54,20002,    
ELSIE WHITLOW STOKES COMMUNITY FREEDOM PCS - BROOKLAND,District of Columbia,DISTRICT OF COLUMBIA,DC ,Elsie Whitlow Stokes Community Freedom PCS - Brookland,1100223,1.10001E+11,11,District of Columbia,103,131,0,51,350,61,3,1,–,–,–,12.32,20017,    
ELSIE WHITLOW STOKES COMMUNITY FREEDOM PCS - EAST END,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Elsie Whitlow Stokes Community Freedom PCS - East End,1100520,1.10001E+11,11,District of Columbia,249,25,1,32,342,32,2,1,–,–,–,12.67,20019,    
EXCEL ACADEMY,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Excel Academy,1100519,1.10003E+11,11,District of Columbia,328,2,0,0,339,9,0,0,–,–,–,8.91,20020,    
FRIENDSHIP PCS - ARMSTRONG ELEMENTARY,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Friendship PCS - Armstrong Elementary,1100497,1.10001E+11,11,District of Columbia,233,1,0,1,245,10,0,0,–,–,–,11.37,20001,    
FRIENDSHIP PCS - ARMSTRONG MIDDLE,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Friendship PCS - Armstrong Middle,1100526,1.10001E+11,11,District of Columbia,189,0,0,0,198,9,0,0,–,–,–,6.96,20001,    
FRIENDSHIP PCS - BLOW PIERCE ELEMENTARY,District of Columbia,DISTRICT OF COLUMBIA,DC ,Friendship PCS - Blow Pierce Elementary,1100479,1.10001E+11,11,District of Columbia,262,2,2,0,273,6,1,0,–,–,–,11.16,20002,    
FRIENDSHIP PCS - BLOW PIERCE MIDDLE,District of Columbia,DISTRICT OF COLUMBIA,DC ,Friendship PCS - Blow Pierce Middle,1100478,1.10001E+11,11,District of Columbia,235,0,0,0,237,2,0,0,–,–,–,7.78,20002,    
FRIENDSHIP PCS - CHAMBERLAIN ELEMENTARY,District of Columbia,DISTRICT OF COLUMBIA,DC ,Friendship PCS - Chamberlain Elementary,1100480,1.10001E+11,11,District of Columbia,265,2,0,0,274,7,0,0,–,–,–,10.21,20003,    
FRIENDSHIP PCS - CHAMBERLAIN MIDDLE,District of Columbia,DISTRICT OF COLUMBIA,DC ,Friendship PCS - Chamberlain Middle,1100483,1.10001E+11,11,District of Columbia,291,1,0,2,302,8,0,0,–,–,–,11.16,20003,    
FRIENDSHIP PCS - COLLEGIATE ACADEMY,District of Columbia,DISTRICT OF COLUMBIA,DC ,Friendship PCS - Collegiate Academy,1100338,1.10001E+11,11,District of Columbia,693,1,1,1,714,15,1,2,–,–,–,10.51,20019,    
FRIENDSHIP PCS - IDEAL ELEMENTARY,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Friendship PCS - Ideal Elementary,1100530,1.10001E+11,11,District of Columbia,204,0,0,0,218,14,0,0,–,–,–,11.6,20011,    
FRIENDSHIP PCS - IDEAL MIDDLE,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Friendship PCS - Ideal Middle,1100528,1.10001E+11,11,District of Columbia,162,0,0,0,172,9,1,0,–,–,–,10.62,20011,    
FRIENDSHIP PCS - ONLINE ACADEMY,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Friendship PCS - Online Academy,1100495,1.10001E+11,11,District of Columbia,338,6,3,17,397,24,0,9,–,–,–,20.19,20011,    
FRIENDSHIP PCS - SOUTHEAST ELEMENTARY,District of Columbia,DISTRICT OF COLUMBIA,DC ,Friendship PCS - Southeast Elementary,1100382,1.10001E+11,11,District of Columbia,363,0,0,1,368,4,0,0,–,–,–,12.85,20032,    
